Node Number;X Location (m);Y Location (m);Z Location (m)
345;-0.80144;-2.5907;-11.466
346;-0.69894;-2.5907;-11.217
347;-1.0024;-2.5907;-11.466
348;-0.90004;-2.5907;-11.217
349;-1.2024;-2.5907;-11.466
350;-1.1015;-2.5907;-11.217
351;-1.4014;-2.5907;-11.466
352;-1.3017;-2.5907;-11.217
353;-1.6005;-2.5907;-11.466
354;-1.5017;-2.5907;-11.217
355;-1.7;-2.5907;-11.217
356;-1.6039;-2.3554;-10.649
357;-1.7;-2.3527;-10.594
358;-1.7;-2.473;-10.632
359;-1.4049;-2.3554;-10.649
360;-1.5072;-2.3527;-10.594
361;-1.202;-2.3554;-10.649
362;-1.3019;-2.3527;-10.594
363;-1.0027;-2.3554;-10.649
364;-1.1015;-2.3527;-10.594
365;-0.79906;-2.3554;-10.649
366;-0.90241;-2.3527;-10.594
367;-0.69454;-2.3527;-10.594
368;-0.69439;-2.417;-10.509
369;-0.79789;-2.3752;-10.543
370;-0.69424;-2.5189;-10.506
371;-0.79675;-2.4696;-10.496
372;-0.79568;-2.5597;-10.535
373;-0.69411;-2.5827;-10.573
374;-0.90025;-2.417;-10.509
375;-1.0011;-2.3752;-10.543
376;-0.89819;-2.5189;-10.506
377;-0.99957;-2.4696;-10.496
378;-0.99812;-2.5597;-10.535
379;-0.89633;-2.5827;-10.573
380;-1.1005;-2.417;-10.509
381;-1.2013;-2.3752;-10.543
382;-1.0995;-2.5189;-10.506
383;-1.2007;-2.4696;-10.496
384;-1.2001;-2.5597;-10.535
385;-1.0986;-2.5827;-10.573
386;-1.3016;-2.417;-10.509
387;-1.4042;-2.3752;-10.543
388;-1.3014;-2.5189;-10.506
389;-1.4035;-2.4696;-10.496
390;-1.4028;-2.5597;-10.535
391;-1.3011;-2.5827;-10.573
392;-1.506;-2.417;-10.509
393;-1.6033;-2.3752;-10.543
394;-1.5049;-2.5189;-10.506
395;-1.6027;-2.4696;-10.496
396;-1.6022;-2.5597;-10.535
