Node Number;X Location (m);Y Location (m);Z Location (m)
707;-2.5891;0.57907;15.933
708;-2.7588;-0.52742;15.772
709;-2.4041;-0.55521;16.102
710;-3.5154;6.30E-16;14.661
711;-3.2084;0.45203;15.2
712;-3.0756;-0.52936;15.382
713;-3.3225;-0.58144;14.966
714;-3.4371;0.45538;14.772
715;-3.5952;-0.75598;14.195
716;-3.5172;-0.59775;14.528
717;1.4561;-2.35E-15;16.72
718;1.1984;0.46163;16.787
719;1.2439;-0.45403;16.772
720;0.57466;-0.79555;16.881
721;2.3163;-3.74E-15;16.224
722;1.6426;0.52258;16.597
723;1.9222;0.75696;16.4
724;1.6897;-0.50403;16.577
725;2.176;-0.72737;16.24
726;3.0187;-4.87E-15;15.521
727;2.7588;0.52742;15.772
728;2.3343;0.77238;16.109
729;2.9419;-0.47379;15.571
730;2.5679;-0.7256;15.917
731;3.5154;-5.67E-15;14.661
732;3.4416;0.61385;14.707
733;3.0756;0.52936;15.382
734;3.2366;-0.49232;15.144
735;3.6124;0.60997;14.233
736;3.5765;-0.85319;14.184
737;3.457;-0.49867;14.714
738;0.43605;0.987;16.854
739;-0.99565;1.0753;16.716
740;-0.34876;1.2446;16.784
741;-2.2149;2.8691;14.363
742;-0.83514;3.5645;14.242
743;-1.3818;3.2834;14.542
744;0.60168;3.6039;14.267
745;1.7879;3.1892;14.259
746;1.2096;3.3522;14.538
747;-3.0118;1.5169;14.967
748;-2.7586;1.039;15.611
749;-2.7076;1.6661;15.296
750;-2.1461;2.6849;14.837
751;-2.541;1.9659;15.244
752;3.1767;1.1471;14.957
753;3.1539;1.721;14.458
754;0.61581;1.3407;16.712
755;1.6266;1.2377;16.414
756;1.2682;1.4417;16.49
757;2.3313;1.3039;15.915
758;2.8279;1.6248;15.165
759;2.3848;1.529;15.745
760;-1.9865;1.213;16.215
761;-2.3038;1.4434;15.867
762;-0.84181;1.4589;16.617
763;-1.5239;1.6967;16.251
764;-1.8586;1.4849;16.175
765;-0.81627;3.3973;14.712
766;0.38524;3.4651;14.729
767;-0.20785;3.4552;14.785
768;1.563;3.119;14.724
769;2.4713;2.5582;14.556
770;2.0837;2.4914;15.187
771;1.7236;2.7803;15.149
772;0.45839;1.8088;16.521
773;-0.79812;1.9526;16.372
774;-6.27E-02;2.1423;16.349
775;-1.407;2.6725;15.519
776;-0.751;3.2323;15.067
777;-1.7854;2.476;15.477
778;0.40955;3.2951;15.063
779;0.53923;2.9624;15.531
780;1.158;2.8911;15.391
781;1.4967;1.746;16.236
782;1.9161;1.723;16.005
783;2.395;2.1042;15.282
784;1.5208;1.9648;16.087
785;0.62912;2.2823;16.184
786;1.1967;2.2303;16.046
787;1.6256;2.2664;15.793
788;-0.83217;2.8141;15.627
789;-0.68866;2.4465;16.037
790;-1.8014;1.9915;15.901
