Node Number;X Location (m);Y Location (m);Z Location (m)
620;21.267;-21.159;17.778
621;24.337;-17.541;22.222
622;1.366;-26.709;17.778
623;17.695;-24.226;22.222
624;0.47081;-29.628;17.778
625;0.93067;-2.852;22.222
626;-0.47081;-29.628;17.778
627;5.82E-04;-3.;22.222
628;-1.366;-26.709;17.778
629;-0.93067;-2.852;22.222
630;-21.267;-21.159;17.778
631;-17.695;-24.226;22.222
632;-26.761;-13.559;17.778
633;-24.337;-17.541;22.222
634;-28.549;-0.92162;22.222
635;-29.634;-0.46705;17.778
636;26.777;-13.528;26.667
637;28.556;-0.91945;31.111
638;29.636;-0.46592;26.667
639;21.294;-21.132;26.667
640;24.364;-17.504;31.111
641;13.681;-26.699;26.667
642;1.772;-24.208;31.111
643;0.47156;-29.627;26.667
644;0.93212;-28.515;31.111
645;-0.47156;-29.627;26.667
646;8.15E-04;-3.;31.111
647;-13.681;-26.699;26.667
648;-0.93212;-28.515;31.111
649;-21.294;-21.132;26.667
650;-1.772;-24.208;31.111
651;-26.777;-13.528;26.667
652;-24.364;-17.504;31.111
653;-28.556;-0.91945;31.111
654;-29.636;-0.46592;26.667
655;26.792;-13.498;35.556
656;28.563;-0.91727;4.
657;29.638;-0.46479;35.556
658;21.321;-21.105;35.556
659;24.391;-17.467;4.
660;13.701;-26.689;35.556
661;17.744;-2.419;4.
662;0.47231;-29.626;35.556
663;0.93356;-2.851;4.
664;-0.47231;-29.626;35.556
665;1.05E-03;-3.;4.
666;-13.701;-26.689;35.556
667;-0.93356;-2.851;4.
668;-21.321;-21.105;35.556
669;-17.744;-2.419;4.
670;-26.792;-13.498;35.556
671;-24.391;-17.467;4.
672;-28.563;-0.91727;4.
673;-29.638;-0.46479;35.556
674;26.807;-13.467;44.444
675;2.857;-0.9151;48.889
676;2.964;-0.46366;44.444
677;21.347;-21.078;44.444
678;24.417;-1.743;48.889
679;13.721;-26.678;44.444
680;17.769;-24.172;48.889
681;0.47306;-29.625;44.444
682;0.93501;-28.506;48.889
683;-0.47306;-29.625;44.444
684;1.28E-03;-3.;48.889
685;-13.721;-26.678;44.444
686;-0.93501;-28.506;48.889
687;-21.347;-21.078;44.444
688;-17.769;-24.172;48.889
689;-26.807;-13.467;44.444
690;-24.417;-1.743;48.889
691;-2.857;-0.9151;48.889
692;-2.964;-0.46367;44.444
693;26.823;-13.436;53.333
694;28.577;-0.91293;57.778
695;29.641;-0.46254;53.333
696;21.374;-21.051;53.333
697;24.444;-17.393;57.778
698;13.742;-26.668;53.333
699;17.793;-24.154;57.778
700;0.47381;-29.623;53.333
701;0.93646;-28.501;57.778
702;-0.47381;-29.623;53.333
703;1.51E-03;-3.;57.778
704;-13.742;-26.668;53.333
705;-0.93646;-28.501;57.778
706;-21.374;-21.051;53.333
707;-17.793;-24.154;57.778
708;-26.823;-13.436;53.333
709;-24.444;-17.393;57.778
710;-28.577;-0.91293;57.778
711;-29.641;-0.46254;53.333
712;26.838;-13.406;62.222
713;28.584;-0.91075;66.667
714;29.643;-0.46141;62.222
715;21.401;-21.024;62.222
716;2.447;-17.355;66.667
717;13.762;-26.657;62.222
718;17.818;-24.136;66.667
719;0.47456;-29.622;62.222
720;0.9379;-28.496;66.667
721;-0.47456;-29.622;62.222
722;1.75E-03;-3.;66.667
723;-13.762;-26.657;62.222
724;-0.9379;-28.496;66.667
725;-21.401;-21.024;62.222
726;-17.818;-24.136;66.667
727;-26.838;-13.406;62.222
728;-2.447;-17.355;66.667
729;-28.584;-0.91075;66.667
730;-29.643;-0.46141;62.222
731;26.853;-13.375;71.111
732;28.591;-0.90857;75.556
733;29.645;-0.46028;71.111
734;21.427;-20.997;71.111
735;24.497;-17.318;75.556
736;13.782;-26.647;71.111
737;17.842;-24.118;75.556
738;0.47532;-29.621;71.111
739;0.93935;-28.491;75.556
740;-0.47532;-29.621;71.111
741;1.98E-03;-3.;75.556
742;-13.782;-26.647;71.111
743;-0.93935;-28.491;75.556
744;-21.427;-20.997;71.111
745;-17.842;-24.118;75.556
746;-26.853;-13.375;71.111
747;-24.497;-17.318;75.556
748;-28.591;-0.90858;75.556
749;-29.645;-0.46028;71.111
750;-29.631;-0.4693;0.
751;-2.673;-1.362;0.
752;-3.;-3.63E-11;0.44444
